Year,Niwot_April1SWE_inches
1981,7.1
1982,13.9
1983,13.8
1984,15.6
1985,10.4
1986,12.7
1987,11.2
1988,13.9
1989,8.6
1990,14.5
1991,9.4
1992,12.6
1993,12.3
1994,13.4
1995,8.8
1996,20.3
1997,14.1
1998,11.6
1999,7.6
2000,12
2001,8.8
2002,6.7
2003,15.6
2004,6.6
2005,11.2
2006,12.7
2007,15.1
2008,12.9
2009,9.8
2010,11.7
2011,14.3
2012,8.1
2013,9.2
2014,17.5
2015,10.7
2016,13.9
2017,13.5
2018,10.6
2019,12.9
2020,15.8
2021,13.2
2022,12
2023,12.8
2024,15
2025,12.3